"ID",NAME,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,DURATION,YIELD
RTSI,Индекс РТС,2006-08-07,1628.49,1628.49,1611.45,1623.59,57770023,,
RTSI,Индекс РТС,2006-08-08,1624.71,1633.26,1616.83,1619.98,24983594,,
RTSI,Индекс РТС,2006-08-09,1620.41,1643.12,1619.89,1642.91,46374518,,
RTSI,Индекс РТС,2006-08-10,1642.18,1642.18,1625.64,1631.15,36956845,,
RTSI,Индекс РТС,2006-08-11,1633.41,1657.83,1633.41,1657.2,59054078,,
RTSI,Индекс РТС,2006-08-14,1657.48,1671.14,1651.57,1651.62,25801389,,
RTSI,Индекс РТС,2006-08-15,1655.85,1655.85,1622.05,1644.16,33236384,,
RTSI,Индекс РТС,2006-08-16,1645.18,1663.98,1644.6,1654.9,51859158,,
RTSI,Индекс РТС,2006-08-17,1659.33,1660.58,1643.46,1647.54,49968760,,
RTSI,Индекс РТС,2006-08-18,1647.11,1647.11,1595.22,1595.22,47949387,,
RTSI,Индекс РТС,2006-08-21,1596.27,1624.97,1596.27,1618.59,28505251,,
RTSI,Индекс РТС,2006-08-22,1619.76,1641.12,1619.76,1641.11,35858172,,
RTSI,Индекс РТС,2006-08-23,1641.03,1650.77,1631.8,1647.71,41452813,,
RTSI,Индекс РТС,2006-08-24,1646.98,1646.98,1633.57,1637.88,36850837,,
RTSI,Индекс РТС,2006-08-25,1638.3,1644.94,1638.3,1643.18,24936959,,
RTSI,Индекс РТС,2006-08-28,1641.35,1644.2,1640.46,1643.17,19054875,,
RTSI,Индекс РТС,2006-08-29,1643.42,1668.8,1642.23,1643.93,21463306,,
RTSI,Индекс РТС,2006-08-30,1644.33,1655.27,1644.33,1651.45,14463881,,
RTSI,Индекс РТС,2006-08-31,1651.61,1659.66,1626.69,1626.69,118849736,,
RTSI,Индекс РТС,2006-09-01,1627.57,1633.36,1617.76,1620,21911780,,
RTSI,Индекс РТС,2006-09-04,1621.31,1634.11,1616.94,1634.11,16913018,,
RTSI,Индекс РТС,2006-09-05,1634.35,1655.27,1633.06,1655.04,41966245,,
RTSI,Индекс РТС,2006-09-06,1653.98,1654.25,1630.27,1630.27,23182413,,
RTSI,Индекс РТС,2006-09-07,1628.7,1628.7,1587.98,1588.62,27638753,,
RTSI,Индекс РТС,2006-09-08,1587.53,1595.17,1586.13,1591.12,20873134,,
RTSI,Индекс РТС,2006-09-11,1586.85,1586.85,1534.67,1534.68,30687707,,
RTSI,Индекс РТС,2006-09-12,1535.12,1546.76,1535.12,1542.7,65984895,,
RTSI,Индекс РТС,2006-09-13,1541.64,1560.77,1536.37,1556.32,30796834,,
